Date AD,Date AD,Min_Temp,Avg Temp,Rainfall
1/1/2012,12.7,3.2,7.95,0
1/2/2012,14.9,7,10.95,10.2
1/3/2012,13,6.8,9.9,0
1/4/2012,16.2,3.9,10.05,0
1/5/2012,16.2,3,9.6,0
1/6/2012,17.2,5,11.1,0
1/7/2012,17.5,3.5,10.5,0
1/8/2012,15.5,3.4,9.45,0
1/9/2012,17.2,4,10.6,6.1
1/10/2012,15.4,4.7,10.05,0
1/11/2012,17,2,9.5,0
1/12/2012,15.3,1.7,8.5,0
1/13/2012,15.6,1.5,8.55,0
1/14/2012,16.8,0,8.4,0
1/15/2012,17.5,0.6,9.05,0
1/16/2012,13,2,7.5,0
1/17/2012,18,2.7,10.35,0
1/18/2012,17.2,0.8,9,0
1/19/2012,18,1,9.5,0
1/20/2012,18.2,2.7,10.45,0
1/21/2012,17.9,2,9.95,0
1/22/2012,19.5,1,10.25,0
1/23/2012,19.2,4.2,11.7,0
1/24/2012,19.8,1.4,10.6,0
1/25/2012,20,3.8,11.9,0
1/26/2012,20.7,2.4,11.55,0
1/27/2012,20.8,2.7,11.75,0
1/28/2012,19.7,2.5,11.1,0
1/29/2012,20.5,1.7,11.1,0
1/30/2012,20.5,1.4,10.95,0
1/31/2012,20.5,2,11.25,0
2/1/2012,20.5,2.3,11.4,0
2/2/2012,20.5,1.3,10.9,0
2/3/2012,21.2,2.7,11.95,0
2/4/2012,22.2,3.8,13,0
2/5/2012,23.2,5.3,14.25,0
2/6/2012,24,4.5,14.25,0
2/7/2012,25.7,3.5,14.6,0
2/8/2012,11.5,9.6,10.55,31.7
2/9/2012,18.6,6,12.3,9.8
2/10/2012,21.7,3,12.35,0
2/11/2012,20.4,4.2,12.3,0
2/12/2012,20,2.8,11.4,0
2/13/2012,18.5,3.5,11,
2/14/2012,20.7,3.8,12.25,0
2/15/2012,20.6,7.8,14.2,0
2/16/2012,20,4.3,12.15,0
2/17/2012,23.8,6.3,15.05,0
2/18/2012,24.5,6.2,15.35,0
2/19/2012,25.2,4.8,15,0
2/20/2012,23.5,6.4,14.95,0
2/21/2012,24,8.6,16.3,0
2/22/2012,24.8,6.7,15.75,0
2/23/2012,28,6.4,17.2,0
2/24/2012,26.5,5.5,16,0
2/25/2012,27.5,5,16.25,0
2/26/2012,26.8,5.5,16.15,0
2/27/2012,26.6,5.5,16.05,0
2/28/2012,24.9,7.2,16.05,0
2/29/2012,23.8,7.5,15.65,0
3/1/2012,23.5,6,14.75,0
3/2/2012,23.8,4.5,14.15,0
3/3/2012,22.7,5,13.85,0
3/4/2012,24.4,5.3,14.85,0
3/5/2012,25,7.3,16.15,0
3/6/2012,27,7.8,17.4,0
3/7/2012,26.4,8,17.2,0
3/8/2012,26,6.5,16.25,0
3/9/2012,24.8,5.5,15.15,0
3/10/2012,24.8,5,14.9,0
3/11/2012,27,2.8,14.9,0
3/12/2012,25.8,3.5,14.65,0
3/13/2012,21.6,11.7,16.65,
3/14/2012,24.2,6.2,15.2,7.8
3/15/2012,23.5,6.5,15,0.2
3/16/2012,24.5,5.4,14.95,7.2
3/17/2012,25.5,7.2,16.35,
3/18/2012,23.7,8.6,16.15,0
3/19/2012,26.3,10,18.15,0
3/20/2012,28.6,10.4,19.5,0
3/21/2012,29.8,10.5,20.15,0
3/22/2012,31.4,10.3,20.85,0
3/23/2012,30.8,10.6,20.7,0
3/24/2012,27,11.2,19.1,0
3/25/2012,27,12.8,19.9,0
3/26/2012,28.4,12.3,20.35,0
3/27/2012,30.4,12.2,21.3,0
3/28/2012,32.2,12,22.1,0
3/29/2012,30,11,20.5,0
3/30/2012,29.4,11,20.2,0
3/31/2012,29.6,12,20.8,
4/1/2012,30.2,12.4,21.3,0
4/2/2012,29.8,14.5,22.15,0
4/3/2012,27.2,14.4,20.8,6.8
4/4/2012,27.2,13.2,20.2,12.4
4/5/2012,29,11.8,20.4,
